action,blood glucose,reward,meal,risk
[0.],146.23903,-12.712272232335232,0.0,2.539417124177481
[0.],144.68555,-12.151000051526893,0.0,2.581632285967092
[0.],143.74373,-11.75854786111538,0.0,2.6256214893439322
0.1,143.25507,-11.569636018522928,0.0,2.6626604357031063
[0.],143.16618,-11.572627647666422,0.0,2.692193800994401
[0.],143.452,-11.759720663317543,0.0,2.7156741681481167
[0.],144.09196,-12.122255005569436,0.0,2.734686532961499
[0.],145.06367,-12.649645898939394,0.0,2.7505001789270227
[0.],146.33246,-13.32359920654407,0.0,2.7640470312193837
0.1,147.80399,-14.089402908903942,0.0,2.7759963933158245
[0.],149.2963,-14.843400585671269,0.0,2.7868276585712675
[0.08256443],150.60696,-15.479154235367282,0.0,2.796863195325059
[0.],151.53253,-15.892613197171851,0.0,2.806289009311034
[0.],151.89334,-15.996427918763004,0.0,2.815183294832005
[0.],151.65749,-15.796186526360929,0.0,2.8235471298783525
0.1,151.01535,-15.419644436832982,0.0,2.8313498063557367
0.1,150.20668,-14.993763981702065,0.0,2.8385584048300467
0.1,149.47113,-14.637163402866712,0.0,2.845122203391464
[0.],149.0219,-14.451449664135156,0.0,2.8509284782829205
0.1,148.9146,-14.443156200331728,0.0,2.8557808732504193
0.1,148.96896,-14.49164404228328,0.0,2.8594241604847257
[0.],148.95209,-14.473819262664819,0.0,2.861572519126869
0.1,148.63084,-14.273210198012467,0.0,2.8619083527134754
[0.],147.80351,-13.794143904719526,0.0,2.8601013306353753
[0.],146.45773,-13.05727130752151,0.0,2.8558333953047343
[0.],144.86537,-12.235328339704619,0.0,2.8488178284435635
0.1,143.36179,-11.500379141839106,0.0,2.8388341297115693
0.1,142.28287,-11.015513173741791,0.0,2.825745828415333
[0.],141.93272,-10.926159353866826,0.0,2.809472335384251
0.1,142.42183,-11.267162551213213,0.0,2.789938865095239
0.1,143.5699,-11.919466330681496,0.0,2.767067160971983
0.1,145.1321,-12.754540535576874,0.0,2.7407809326611856
0.1,146.86339,-13.64769986020875,0.0,2.710987072664545
[0.],148.53148,-14.480670723382758,0.0,2.677561365355578
[0.],149.98145,-15.18278627398282,0.0,2.640353690848827
[0.],151.17477,-15.748996218931296,0.0,2.5992271221790952
[0.],152.09917,-16.176908854840747,0.0,2.5541138975040174
[0.],152.7429,-16.46120212296411,0.0,2.5050470443700616
0.1,153.10678,-16.60451113756323,0.0,2.4521645374502894
0.1,153.26288,-16.653452418433865,0.0,2.3956934527982843
[0.],153.3895,-16.71264261230055,0.0,2.3359045310402182
[0.],153.68855,-16.886669966012434,0.0,2.2730582480401345
0.1,154.36172,-17.276969209749236,0.0,2.2073983998863556
0.1,155.61075,-17.986120060506337,0.0,2.139178857830085
0.1,157.63736,-19.11847985983984,0.0,2.068659533877907
0.1,160.64314,-20.78044321179048,0.0,1.996074114747679
[0.],164.82936,-23.08024409164424,0.0,1.921610556674521
[0.],170.3968,-26.127182971405254,0.0,1.8454145238213782
[0.08798715],173.40865,-27.22571760658124,0.0,1.7676229217830088
[0.],169.39644,-24.006494469304116,0.0,1.6884064459145316
[0.04462601],165.68967,-22.226767009942716,0.0,1.6079770216730063
[0.],162.24094,-20.565034708003456,0.0,1.5265800314623639
[0.],159.00313,-18.99862657139879,0.0,1.4444936027199018
0.1,155.92938,-17.505047979762836,0.0,1.3620273659490505
0.1,152.97313,-16.061995076065354,0.0,1.2795202219358988
[0.],150.088,-14.647305154506684,0.0,1.1973170545402048
[0.],147.22752,-13.238821851679617,0.0,1.1157375667769578
0.1,144.345,-11.814393091928663,0.0,1.035077368119759
[0.],141.40944,-10.361739544148083,0.0,0.9556289492025389
0.1,138.48459,5.3184424032595965,0.0,0.8776821634485619
0.1,135.7762,7.272743209884151,0.0,0.8015172729261172
0.1,133.5215,7.209802750354557,0.0,0.7273998268882398
[0.],131.9575,7.135844529708482,0.0,0.6555686150642132
0.1,131.27606,7.056617513113065,0.0,0.5862343001201041
[0.],131.39995,6.989824783523369,0.0,0.5195961462963254
[0.],131.8487,6.962704388888777,0.0,0.4558572215732216
[0.],132.05225,6.982856343169129,0.0,0.39523262382878116
[0.],131.44078,7.051074394848097,0.0,0.33795936986257985
[0.],129.51405,7.152466257552697,0.0,0.28429728264471715
0,126.1881,7.231495775310821,0.0,0.23452107929284305
0,122.002945,7.2297279910144505,0.0,0.18890885539289531
0,117.63754,7.159008708894195,0.0,0.14773030195791245
0,113.77105,7.064565438239559,0.0,0.11123620316891701
0,111.02666,6.998088236853596,0.0,0.07964977022719147
0,109.69091,6.9837073841085235,0.0,0.05315988575731754
0,109.54531,6.997593183121626,0.0,0.03191612304264776
0,110.25911,7.010604988312702,0.0,0.016025328305042285
0,111.501526,7.01141475385261,0.0,0.0055495411497074555
0,112.95519,7.002332464051708,0.0,0.0005050424055986469
0,114.38351,6.991123925247729,0.0,0.000862342459462394
0,115.6711,6.9828481143084495,0.0,0.006546948709821835
0,116.72943,6.9796133646085465,0.0,0.017440774518721506
0,117.469864,6.9824514865533445,0.0,0.03338407282447542
0,117.80399,6.991211373998494,0.0,0.05417779523238829
0,117.64533,7.004240211919032,0.0,0.07958629217689632
0,116.91036,7.018055916915873,0.0,0.10934028203619683
0,115.516136,7.026941115327188,0.0,0.14314002727533956
0,113.37959,7.0220141775633325,0.0,0.1806586641523941
0,110.44408,6.990014889319893,0.0,0.22154563954736922
0,106.8118,6.918043862980991,0.0,0.2654302143184915
0,102.82331,6.812506671189585,0.0,0.31192499746406205
0,98.872086,-10.861617122821785,0.0,0.36062947944564355
0,95.35151,-12.69399742830114,0.0,0.41113353645596895
0,92.654884,-14.029262216426051,0.0,0.4630208803167351
0,91.17543,-14.637195671775615,0.0,0.5158724311732042
0,91.30632,-14.326073060900509,0.0,0.5692695923043699
0,93.440636,-12.964660731529795,0.0,0.6227974082678107
0,97.97143,-10.483483838026077,0.0,0.6760475893115512
0,101.6084,7.303352346164552,0.0,0.7286213865695147
